decimallongitude,decimallatitude,scientificname
-76.36805,39.04906667,Morone saxatilis
-76.40900002,38.94903336,Morone saxatilis
-76.32431666,39.1274,Morone saxatilis
-76.50614999,38.64088332,Morone saxatilis
-76.46558332,38.80621668,Morone saxatilis
-76.49879999,38.73933334,Morone saxatilis
-76.36505,38.59424998,Morone saxatilis
-76.41688334,38.82731667,Morone saxatilis
-76.14573334,38.12308334,Morone saxatilis
-76.09978333,37.92146664,Morone saxatilis
-124.27479450000001,43.16687529,Morone saxatilis
-124.3538957,40.29529307,Morone saxatilis
-76.24851667,37.70475,Morone saxatilis
-76.09615,37.92538331,Morone saxatilis
-76.33451665,38.25576666,Morone saxatilis
-76.08321667,37.82478333,Morone saxatilis
-76.34359999,39.18553333,Morone saxatilis
-76.42215001,38.97131666,Morone saxatilis
-76.33781665,39.22798333,Morone saxatilis
-76.28388335,39.25511667,Morone saxatilis
-76.29785,39.10095,Morone saxatilis
-76.39028333,38.98646666,Morone saxatilis
-76.45178334,38.85423336,Morone saxatilis
-76.38074999,38.52161668,Morone saxatilis
-76.49940001,38.55695,Morone saxatilis
-76.42234999,38.43948332,Morone saxatilis
-76.44463332,38.47423334,Morone saxatilis
-76.45551666,38.59130001,Morone saxatilis
-76.45775,38.78788331,Morone saxatilis
-76.39623334,38.53760001,Morone saxatilis
-76.10243333,37.93756669,Morone saxatilis
-76.37848333,38.32114998,Morone saxatilis
-76.18165,38.17383334,Morone saxatilis
-76.26936668,38.09356666,Morone saxatilis
-76.29976667,38.25168333,Morone saxatilis
-76.33403333,38.35279999,Morone saxatilis
-76.13481666,37.73613332,Morone saxatilis
-75.96120001,37.66041667,Morone saxatilis
-76.09148333,37.7544,Morone saxatilis
-76.02178333,37.73924999,Morone saxatilis
-76.21545,37.70555,Morone saxatilis
-76.23853334,37.68889999,Morone saxatilis
-76.20328333,37.69073334,Morone saxatilis
-76.18724999,37.79185003,Morone saxatilis
-76.17121666,37.35563332,Morone saxatilis
-76.31128333,39.22223333,Morone saxatilis
-76.39694999,39.06473333,Morone saxatilis
-76.36466665,38.65154998,Morone saxatilis
-76.45276667,38.49038334,Morone saxatilis
-76.40638332,38.92074998,Morone saxatilis
-76.42136666,38.60358334,Morone saxatilis
-76.37336667,38.33154999,Morone saxatilis
-76.30941668,38.27386665,Morone saxatilis
-76.32915001,38.29253333,Morone saxatilis
-76.24125001,37.94188334,Morone saxatilis
-76.27968334,38.15633334,Morone saxatilis
-76.19635,37.85858332,Morone saxatilis
-76.41068335,38.74263331,Morone saxatilis
-76.5,38.73935,Morone saxatilis
-76.37136666,39.03325,Morone saxatilis
-76.37823334,38.54143333,Morone saxatilis
-76.45316668,38.55693334,Morone saxatilis
-76.3055,38.04075,Morone saxatilis
-76.30310001,38.23966667,Morone saxatilis
-85.1446,30.12935,Morone saxatilis
-76.43855,38.95543334,Morone saxatilis
-76.32205,39.20611666,Morone saxatilis
-76.36965001,39.21241666,Morone saxatilis
-76.37379999,39.05125,Morone saxatilis
-76.35771666,39.03491667,Morone saxatilis
-76.31923332,39.0867,Morone saxatilis
-76.49051666,38.50298335,Morone saxatilis
-76.40726668,38.77434998,Morone saxatilis
-76.45108334,38.57483336,Morone saxatilis
-76.4191,38.87265002,Morone saxatilis
-76.46054999,38.75621668,Morone saxatilis
-76.47255001,38.63924999,Morone saxatilis
-76.47106667,38.72195002,Morone saxatilis
-76.43108333,38.79051666,Morone saxatilis
-76.104,38.04115,Morone saxatilis
-76.1199,38.04523333,Morone saxatilis
-76.1609,38.14396666,Morone saxatilis
-76.32196668,38.42171666,Morone saxatilis
-76.25133333,38.15588333,Morone saxatilis
-76.27491668,38.05455,Morone saxatilis
-76.34321667,38.27063335,Morone saxatilis
-76.35893332,38.30955,Morone saxatilis
-76.1849,38.17556667,Morone saxatilis
-76.22368333,38.1236,Morone saxatilis
-76.0528,37.73948332,Morone saxatilis
-76.01415,37.78878333,Morone saxatilis
-75.94108334,37.65645002,Morone saxatilis
-75.98046665,37.72530003,Morone saxatilis
-76.0527,37.75276667,Morone saxatilis
-76.20808333,37.57405001,Morone saxatilis
-76.22228333,37.72095,Morone saxatilis
-76.26195,37.68881664,Morone saxatilis
-76.13546667,37.67211666,Morone saxatilis
-76.3526535,39.21852112,Morone saxatilis
-76.31004333,39.1696701,Morone saxatilis
-76.36356354,39.21292114,Morone saxatilis
-76.33506775,39.22576904,Morone saxatilis
-76.30050659,39.104831700000005,Morone saxatilis
-76.38954926,39.05044937,Morone saxatilis
-76.46576691,38.82397842,Morone saxatilis
-76.47492981,38.4899292,Morone saxatilis
-76.43470001,38.90798187,Morone saxatilis
-76.49846649,38.57691956,Morone saxatilis
-76.46974945,38.62361908,Morone saxatilis
-76.4668808,38.58707809,Morone saxatilis
-76.46811676,38.60861969,Morone saxatilis
-76.40339661,38.636081700000005,Morone saxatilis
-90.06580500000001,32.395084999999995,Morone saxatilis
-76.40415001,39.1923,Morone saxatilis
-76.32246666,39.20076666,Morone saxatilis
-76.38618333,39.12281667,Morone saxatilis
-76.30086667,39.09551667,Morone saxatilis
-76.39989999,38.67826665,Morone saxatilis
-76.45463333,38.60415001,Morone saxatilis
-76.49131667,38.68741665,Morone saxatilis
-76.23319999,38.25139999,Morone saxatilis
-94.07281,30.11385,Morone saxatilis
-76.36534999,39.12018333,Morone saxatilis
-76.34163332,39.13088334,Morone saxatilis
-76.32383334,39.10153333,Morone saxatilis
-76.35766665,39.04051667,Morone saxatilis
-76.50605001,38.68815002,Morone saxatilis
-76.46646668,38.82411664,Morone saxatilis
-76.49003334,38.73933334,Morone saxatilis
-76.44891666,38.63869998,Morone saxatilis
-76.47150002,38.66946665,Morone saxatilis
-76.48835001,38.7972,Morone saxatilis
-76.32726666,39.23465001,Morone saxatilis
-76.38669999,39.20505001,Morone saxatilis
-76.36573334,39.07698333,Morone saxatilis
-76.31835,39.21836667,Morone saxatilis
-76.37234999,39.03218333,Morone saxatilis
-76.35391668,39.04103333,Morone saxatilis
-76.32023335,39.08116666,Morone saxatilis
-76.49896666,38.53946667,Morone saxatilis
-76.39653333,38.67163334,Morone saxatilis
-76.48878333,38.73809999,Morone saxatilis
-76.42448333,38.44821666,Morone saxatilis
-76.38715,38.44571667,Morone saxatilis
-76.24443334,38.25555,Morone saxatilis
-76.11213334,37.97556667,Morone saxatilis
-76.12768333,38.12855,Morone saxatilis
-76.15941666,37.99166667,Morone saxatilis
-76.17363334,38.10911667,Morone saxatilis
-76.25909999,37.97186667,Morone saxatilis
